page,reference,text
61,PDF page 61,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 36  
 
 
 
Table  3-25: Cross Drainage Structures / Culvert in New Construction 
S. Existing 
Chainage 
Design 
Chainage Final Structure Proposal 
No. (km) (km) Structure Type 
Span/ 
Opening/ 
Pipe Dia. 
Re -
commendation Remarks Type of 
construction 
Approach Road-1 
1  - 
10+196 
10+586 
Pipe 
Box 
3x1.2 ⌀ 
1x3x3 New 
construction -  
- 
2  - 
10+656 
10+735 
Pipe 
Box 
1x1.2 ⌀ 
1x5x6.5 New 
construction  - 
- 
3 - 
11+906 
12+216 
Box 
Pipe 
1x5x6.5 
2x1.2 ⌀ New 
construction  - 
- 
4  - 
12+481 
12+676 
Box 
Box 
2x3x6 
1x2x2 New 
construction  - 
- 
5  - 
13+584 
13+694 
Pipe 
Pipe 
3x1.2 ⌀ 
2x1.2 ⌀ New 
construction - 
- 
6  - 
13+886 
14+996 
Box 
Box 
1x2x2 
1x2x2 New 
construction - 
- 
7  - 
15+076 
15+186 
15+986 
Pipe 
Box 
Box 
2x1.2 ⌀ 
1x2x2 
1x2x2 
New 
construction - 
- 
8 -  
16+196 
17+106 
Box 
Box 
1x2x2 
1x2x2 New 
construction - 
- 
9  - 
17+746 
10+196 
Pipe 
Pipe 
3x1.2 ⌀ 
3x1.2 ⌀ New 
construction - 
- 
10  - 
10+586 
10+656 
Box 
Pipe 
1x3x3 
1x1.2 ⌀ New 
construction -  
- 
11 -  
10+735 
11+906 
Box 
Box 
1x5x6.5 
1x5x6.5 New 
construction  - 
- 
12 - 
12+216 
12+481 
Pipe 
Box 
2x1.2 ⌀ 
2x3x6 New 
construction  - 
- 
13 - 12+676 Box 1x2x2 New  - - "
62,PDF page 62,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 37  
 
 
13+584 Pipe 3x1.2 ⌀ construction 
14 - 
13+694 
13+886 
Pipe 
Box 
2x1.2 ⌀ 
1x2x2 New 
construction - 
- 
15 - 
14+996 
15+076 
Box 
Pipe 
1x2x2 
2x1.2 ⌀ New 
construction - 
- 
16 - 
15+186 
15+986 
Box 
Box 
1x2x2 
1x2x2 New 
construction - 
- 
17   
16+196 
17+106 
Box 
Box 
1x2x2 
1x2x2 New 
construction - 
- 
18  - 
17+746 Pipe 3x1.2 ⌀ 
New 
construction -  
- 
Approach Road 2 
19 - 0+110 Pipe 3x1.2 ⌀ New 
construction 
- - 
20 - 0+400 Pipe 2x1.2 ⌀ New 
construction 
- - 
 
 
The Summary of bridges is shown below: 
 
Table  3-26: Bridges Proposed for New Construction as Major Bridge 
 
S. 
N
o. 
Existin
g 
Chaina
ge 
(Km) 
Design 
Chaina
ge 
(Km) 
Proposed Arrangements/ Details 
Type of 
Bridge 
Improvement 
Proposal 
Load Classifi-
cation 
Total Span    
(CL of Exp) (m) 
Type of Super-
structure 
1 - 17+24
2 
Major 
bridge 
New 
Construction    As per IRC-6 1x135.87  
(total)  
Steel 
Composite 
 
Table 3-27: Bridges Proposed for New Construction as Minor Bridge 
S. 
N
o. 
Existin
g  
Chaina
ge 
 (Km) 
Design  
Chaina
ge 
 (Km) 
Proposed Arrangements/ Details 
Type of 
Bridge 
Improvement 
Proposal 
Load Classifi-
cation 
Total Span    
(CL of Exp) (m) 
Type of Super-
structure 
Nil 
 
3.7 PROVISION OF RETAINING WALLS/BREAST WALL AND OTHER PROTECTION WORKS 
Based on provisions for slope protection works given in “IRC :SP: 48- Hill Road Manual”, IS 14458 (Part 1): 
1998 “Retaining wall for Hill Area – Guidelines, Part 1 Selection of Type of wall”, Literature Studies and "
63,PDF page 63,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 38  
 
 
multiple site visits of consultant’s Highway Engineer and Geologist summary of recommendations for Hill and 
Valley slope protection work are mentioned in the following Table. 
Table 3-28: Provision of Retaining Wall/Breast Wall and other protection work 
Sl. 
No. Type of Protection Wall Avg. Ht 
(m) 
LHS RHS Total Length (m) Length (m) Length (m) 
1 Retaining Wall in Stone Masonry 2.5-6 - - - 
GRAND TOTAL = - - - 
2 Breast Wall in Stone Masonry 2.5 - - - 
3 Gabion Wall 4-8 1626 1256 2882 
 
3.8 EMBANKMENT DESIGN 
3.8.1 REINFORCED EARTH WALL STRUCTURE FOR EMBANKMENT & SLOPES  
This work shall consist of reinforced earth steep slopes comprising of construction of internally stabilized soil 
mass, built in layers, duly compacted with specific fill requirements in combination with minimum 50 mm 
wide Geosynthetic strap, minimum 70 mm  wide geosynthetic strap and 50 mm wide high friction 
geosynthetic strap coated with Linear Low -Density Polyethylene (LLDPE) or similar as soil reinforcing 
structural elements of designated grades and design strengths connected directly with flexible galva nized 
steel mesh facing through mechanical connection system.  
Design and construction of reinforced earth steep slope shall include all dead and live loads and combinations 
including snow loads with adequate factor of safety , seismic loads, drainage provision for dissipation of pore 
water pressure and flexible galvanized steel mesh facing system with erosion protection measure for long 
term performance with a minimum design life of 100 Years. The contractor shall assess and substantiate the 
availability and design adequacy of foundation soil for overall stability under the location of the reinforced 
earth steep slope before execution of the works. 
The work shall generally be done in conformity to the MORTH “Specification for Road and Bridge Works: 
Latest Revision, Section 3100 and specifically as per this document. The detailed design and drawings of the 
work done in accordance with the MORTH specifications and in accordance to FHWA Guide line “Design and 
Construction of Mechanically Stabilized Earth Walls and Reinforced Soil Slopes”. Reference can also be made 
to BS: 8006:2010 “Strengthened/Reinforced Soils and Other Fills” for general detailing or wherever relevant.  
In reinforced earth steep slope structures, the facing units are galvanized steel welded mesh units. The steel 
mesh shall be of ‘L’ shape. Special compressible type galvanized steel mesh panels and secondary 
reinforcement may be used for total wall slope height more than 10.0m to allow enhanced flexibility in the 
wall slope, as per recommendation and design of specialized system or technology provider.  
The steel mesh facing shall be hot-dip galvanized with minimum thickness of 86 microns. The steel elements 
shall be of diameter not less than 8 mm, Hot-dip Galvanizing shall be done in accordance with BS 729: 1971 
(1994), bending of bars shall be as per BS: 4466. 
Since the reinforced earth structures are located in high seismic zone, the connection  system between the 
soil reinforcing geosynthetic strap and the reinforced earth facing shall be dire ct and mechanical in nature, 
frictional connections shall not be used or approved for works in high seismic zones. The connection shall 
consist of galvanized steel mid steel loops and horse shoe plate or similar arrangement. The weight of 
galvanization shall not be less than 500 grams per sqm (Zinc thickness not less than 70 micron). The surface "
64,PDF page 64,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 39  
 
 
finished shall consist of flat, dressed boulders/stones of more than 125 mm in size and shall be appropriately 
packed for achieving a complacent surface finish.  
Principal fill material  for Reinforced Earth Walls / Slopes  
The properties of structure fill, subsoil and the retained fill and their interface media shall be based on 
assumed representative soil data at the design stage, but the values shall be verified  at the time of the 
construction.  
Fill in the structure or slope shall either be wholly frictional or cohesive -frictional. Stratified layers of 
combined frictional and cohesive-frictional fill shall not be used without specific design check. The use of soft 
chalk, un-burnt colliery shale and unsuitable material shall not be permitted and got removed from site.  
Fill for Reinforced Earth structures shall be well graded selected material as specified and available within 
reasonable lead distance. The fill mu st allow dissipation of pore pressure by designing the same with free 
draining characteristics or by providing vertical and horizontal drainage provisions with geosynthetic drains 
in the reinforced soil volume. The association of drainage bay or interface drains shall be connected properly 
to the gradient required and shall be maintained during compaction in layers. 
Backfill materials used in the reinforced earth volume shall be reasonably free from organic or otherwise 
deleterious materials and shall conform to the following mechanical and physico-chemical requirements. 
 Mechanical requirements 
  Sieve size    Percent passing 
  80 mm (gravel)         100% 
  4.75 mm (coarse sand)   more than 75% 
  75 micron (silt)    less than 15% 
Acceptance limits for mater ials with more than 15% passing 75micron are related to the percentage of 
particles smaller than 15 microns as follows: 
• Materials with more than 15% passing 75micron sieve but less than  10% of particles smaller 
than 15 microns are acceptable. 
• Materials with more than 15% passing 75micron sieve and more then  20% of particles smaller 
than 15 microns are inadequate and shall not be  used except as specified in (e) below. 
• The plasticity index (PI) shall be less than 6 and co-efficient of uniformity (Cu) shall be greater than 2. 
• Materials with more than 15% passing 75micron sieve and 10 to 20 % of particles smaller than 15 
microns are acceptable provided that the internal friction angle is not smaller than 30. 
Initially at approval of source and subsequent at each change of source, backfill is to be checked for sieve 
analysis, pH and angle of internal friction. The results will indicate what further tests are needed, if any. 
Materials not conforming to the above requirements may be used with the written consent  of engineer in 
charge after carrying out test. Such materials shall be tested for their functional properties to assure that 
they are consistent with the parameters used in the design calculations. 
3.8.2 DRAINAGE LAYER  
Horizontal drainage gallery and chimney drain gallery shall be minimum 600 mm wide. The drainage gallery 
shall be constructed using aggregate or gravel (size: 19.5mm passing and 9.1mm retained). Non -woven 
geotextile shall be used to restrict the files ente r the drainage gallery. The drainage gallery shall be "
65,PDF page 65,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 40  
 
 
constructed as shown in the construction drawings. Alternatively, geo -composite drains as per section 700 
of MoRT&H guidelines may be used as chimney drain and drainage board wrapped with non -woven 
geotextiles on both sides may also be used as horizontal drainage layers. 
Criteria used for Design of Reinforced Earth Slopes  
Description 
 
Cohesion Ф Seismic 
Zone 
SBC Fascia Connection 
Fill 
Material Nil 300 V 10 T/m3 
 
Galvanized 
Welded Wire 
Mesh 
Mechanical 
 
Typical Section used for High Embankment Sections is given under: 
 
4 CHAPTER-4 TRAFFIC SURVEY AND ANALYSIS 
4.1 GENERAL 
This chapter is intended to give the present traffic scenario and studies which are very much important 
to design the pavement, so that pavement is able to perform well for the designed traffic and service 
life. 
4.2 IDENTIFICATION SECTION FOR TRAFFIC SURVEYS 
Detailed traffic surveys are conducted along the project road based on the observations and discussion with 
client at following mutually agreed locations. 
• 7- days Continuous Classified Traffic Volume Count at 3 locations 
• 1 day - Origin – Destination Surveys at 2 Locations 
• 2 day Axle load Surveys at 2 Locations 
• 24 hours Turning Movement Count Surveys at 2 locations  
• 12 hour Truck Terminal Survey at 1 location 
"
66,PDF page 66,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 41  
 
 
• 12 hour Pedestrian and Animal count Survey at 2 location 
• Speed & Delay Survey throughout the Road Alignment 
Traffic Survey schedule is shown in table 4.1 below and Traffic Survey location is shown in Figure below: 
 
Table  4-1: Traffic Survey Schedule 
ID Survey 
Location/section Date 
Duration 
Classified Traffic Volume Count Surveys  
C1 Km 81+600 13.06.2018 to 20.06.2018 7 days 
C2 Km 85+900 13.06.2018 to 20.06.2018 7 days 
C3 Km 94+800 14.06.2018 to 21.06.2018 7 days 
Origin-Destination Surveys  
O1 Km 81+500 17.06.2018 1 day 
O2 Km 85+800 19.06.2018 1 day 
Axle load Surveys  
A1 Km 81+500 17.06.2018 to 18.06.2018 2 day 
A2 Km 85+800 19.06.2018 to 20.06.2018 2 day 
Turning Movement Count Surveys 
T1 Km 89+000 14.06.2018 1 day 
T2 Km 95+000 15.06.2018 1 day 
Truck Terminal Survey 
T1 Km 85+300 20.06.2018 12 hours 
Pedestrian and Animal Count Survey 
P1 Km 82+400 15.06.2018 12 hours 
P2 Km 84+700 16.06.2018 12 hours 
Speed and Delay Survey 
S1 Sonamarg to Baltal 14.06.2018 - 
S2 Baltal to Sonamarg 14.06.2018 - "
67,PDF page 67,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 42  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Fig. 4-1: Map showing location of Traffic Surveys 
 
 
Traffic surveys have been carried out on the project corridor in order to identify present and likely 
future scenarios and to device suitable remedial measures and to evolve appropriate design method. 
The primary objectives of these traffic surveys are to determine the characteristics of traffic movement 
on the project corridor, determine the travel pattern as well as type and weight of commodity carried by 
trucks, determine the spectrum of axle loads and vehicle damage factors for different types of commercial 
"
68,PDF page 68,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 43  
 
 
vehicles, determine the turning movement pattern of traffic at road intersections and determine traffic 
bottlenecks. 
4.3 TRAFFIC SURVEY DATA 
4.3.1 CLASSIFIED TRAFFIC VOLUME COUNT 
 
All the survey locations were determined in consultation with client and carried out using ATCC systems 
under the supervision of experienced technical site staff and traffic engineers of SMEC. The locations were 
selected based on the following considerations: 
• Traffic homogeneity based on major traffic generation and dispersal locations along the project road; 
and 
• Suitability of proposed locations for traffic surveys 
Traffic surveys were conducted in both directions for seven consecutive days using ATCC systems.   
The field staffs having been made aware of their responsibilities and field safety before the start of field 
surveys was continuously monitored by their supervisor and an on-site traffic engineer.   
For recording vehicle classification information mode-wise, vehicles were grouped under the categories as 
shown Error! Reference source not found. in Table 4-2 below:- 
 
Table  4-2: Classification of Vehicles 
 
 
Motorized Vehicles Non-motorized Vehicles/ Slow moving 
vehicles 
 
Fast passenger vehicles Two wheelers Cycle 
Three wheelers Cycle Rickshaw 
Car/Jeep/Van Taxi Animal Drawn Vehicle (ADV) 
LMV (pickups and other less than 3T)  
 
Bus 
Mini Bus 
Standard Bus 
 
Goods vehicle 
LCV 
 
Truck 
2 – Axle Truck 
3 – Axle Truck 
 
MAV 
4-6 Axles 
7 and more than 7 Axles 
 Tractor 
Tractor Tractor + Trailer 
    
 
4.3.2 ORIGIN-DESTINATION SURVEY (OD SURVEY) "
69,PDF page 69,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 44  
 
 
The Origin – Destination survey was carried out with the primary objective of studying the travel pattern 
of passenger and goods traffic along the project corridor. The O-D survey was conducted as mentioned 
in Origin and Destination chapter as per the guidelines given in IRC: 102-1988. Roadside Interview Method 
was adopted for conducting the survey. The vehicles were stopped at random sample basis with the help 
of police and the drivers were interviewed by  trained enumerators to collect the needed 
information/data. The pertinent information in respect of travel characteristics including the following were 
collected during these interviews: 
 
• Origin and Destination of the trip 
 
• Trip 
length 
 
• Trip purpose 
 
• Commodity type 
 
• Loading pattern 
4.3.3 AXLE LOAD SURVEY 
The axle load survey has been carried out at 2 locations to work out the Vehicle Damage Factor (VDF) and 
the axle load spectrum for design of pavement. 
4.3.4 INTERSECTION TURNING MOVEMENT SURVEY 
The Turning Movement Count survey has been carried out at 2 locations for 24 hours. This survey was 
conducted to obtain information on directional movement of traffic at four major intersections along the 
project road for a continuous 24 hour period. Trained enumerators to record all individual turning 
movements were stationed at each intersection. The data for peak hour directional movements and ADT 
on cross road at the junction will help in prioritizing junctions and improving junction if warranted. 
4.3.5 TRUCK TERMINAL SURVEY 
The Truck Terminal survey has been carried out at 1 locations for 12 hours. The entry and exit Truck count 
survey at existing Truck Terminal (Sonamarg – 85+300) was carried out. The data derived from O-D, Speed-
Delay, and other Surveys and Opinion Surveys be analyzed to assess requirements for present and future 
development of truck terminals at suitable locations enroute. 
4.3.6 PEDESTRIAN COUNT AND ANIMAL COUNT SURVEY 
The Pedestrian and Animal Count survey has been carried out at 2 locations for 12 hours. Pedestrian count 
data is used frequently in planning applications to evaluate sidewalk and crosswalk needs. Pedestrian count 
survey was carried out at mid -block locations where pedestrian movement is high. Pedestrian movements 
across the road and along the road will be recorded during pe ak hours. The pedestrian count data will be 
analyzed to identify the requirements of pedestrian facilities across and along the roads. Also, the animals 
crossing the road was collected to provide the safety of both vehicles and animals. 
4.3.7 SPEED AND DELAY SURVEYS. "
70,PDF page 70,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 45  
 
 
This survey was carried out along the project road corridor to know the average speed and amount of delay 
if any. The survey was performed by Moving Car Method.  
4.3.8 WAY SIDE AMENITIES 
There are no way side amenities along the project except Major towns like Sonamarg having hotels and 
eating place. 
4.3.9 DATA ANALYSIS - CLASSIFIED TRAFFIC VOLUME COUNT 
The analysis of the classified traffic volume counts at all 3 count stations was done to determine following 
traffic characteristics: 
• Average Daily Traffic 
• Daily Variation of Traffic 
• Maximum, Minimum and Average Traffic 
• Percentage Variation of Traffic 
• Hourly Distribution and Directional Distribution of Traffic 
• Traffic composition 
• Annual Average Daily Traffic (AADT) 
Data collected at the site was computerized for further analysis.  The traffic values obtained in terms of ADT 
have been converted to PCU values to study the existing traffic volume Vis-à-vis the existing highway capacity 
and for future projections. The PCU factors have been adopted as per IRC guide lines and are provided in 
Table below. 
Table  4-3: PCU factors adopted for the project highway 
Vehicle Type PCU Factor 
MOTORIZED  
Two wheelers 0.5 
Three wheelers 1 
Car/Jeep/Taxi 1 
Bus 3 
LCV 1.5 
Truck 3 
Truck-Trailer (MAV) 4.5 
Tractor+ Trailer 4.5 
Tractor (without Trailer) 1.5 
NON MOTORIZED 
Cycle 0.5 
Cycle-Rickshaw 0.5 
Animal Drawn 8 
 
4.3.9.1 Average Daily Traffic (ADT) 
The counting of each traffic and its recording shall be continued without break for the full week over "
71,PDF page 71,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 46  
 
 
seven consecutive days & 24 hours of each day. The survey and count sheets will be spot checked and 
data registered in the field office. The results shall be presented in tabular and graphical form. The 
survey data shall be analyzed to bring out hourly and daily variations. The traffic volume count per day 
will be averaged to show a Weekly Averaged Daily Traffic (ADT) for vehicle type and ADT PCU. The 
compiled survey data as average of the week are presented in Tables below. 
Table  4-4: Average Daily Traffic (Vehicles) 
 
Vehicle 
Km 81+600_NH01 Km 85+900_NH01 Km 94+800_NH01 
ADT PCU ADT PCU ADT PCU 
Cars, passenger vans, jeep 2,846 2,846 2,233 2,233 1,289 1,289 
Auto Rick. 0 0 0 0 0 0 
Two-Wheeler 1,179 590 448 224 319 159 
LCV's 435 652 328 492 257 386 
Mini Buses 169 254 68 102 59 89 
Buses 24 72 35 106 29 86 
Trucks of 2 Axle 752 2255 968 2,903 772 2,316 
Trucks of 3 Axle 30 89 7 20 5 15 
Multi-Axle Trucks 10 46 0 0 1 5 
Tractor 1 2 1 1 1 1 
Tractor trailer 0 0 0 0 0 0 
Cycle 0 0 0 0 0 0 
Animal Drawn 0 0 0 0 0 0 
Total Vehicles 5,446 6,806 4,088 6,081 2,731 4,345 "
72,PDF page 72,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 47  
 
 
 
Daily Variation of Traffic 
The distribution of traffic by vehicle type was also studied for the three traffic volume count station.  
A study of the daily variations in volume count at all count stations are provided in Table below. 
 
Table  4-5: Daily Traffic Variation at Km – 81+600 
Vehicle type Day 1 Day 2 Day 3 Day 4 Day 5 Day 6 Day 7 ADT 
Cars, passenger vans, 3897 3732 2896 2370 2541 2579 1906 2,846 
Auto Rick. 0 0 0 0 0 0 0 0 
Two Wheeler 947 1101 1024 759 1449 1491 1482 1,179 
LCV's 491 463 395 535 299 369 490 435 
Mini Buses 198 215 183 161 170 156 102 169 
Buses 27 24 24 24 24 24 22 24 
Trucks of 2 Axle 689 584 941 1093 544 636 775 752 
Trucks of 3 Axle 13 12 12 56 35 46 34 30 
Multi-Axle Trucks 1 1 1 8 22 22 17 10 
Tractor 1 1 1 1 1 1 1 1 
Tractor trailer 0 0 0 0 0 0 0 0 
Cycle 0 0 0 0 0 0 0 0 
Animal Drawn 0 0 0 0 0 0 0 0 
Total Vehicles 6264 6133 5477 5007 5085 5324 4829 5446 
Percentage Variation 
with ADT 15.02 12.61 0.57 8.76 7.09 2.29 12.77   
 
Table 4-6: Daily Traffic Variation at Km – 85+900 "
73,PDF page 73,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 48  
 
 
Vehicle type Day 1 Day 2 Day 3 Day 4 Day 5 Day 6 Day 7 ADT 
Cars, 
passenger 
vans, jeep 
2990 1769 1771 3049 2169 2008 1876 2,233 
Auto Rick. 0 0 0 0 0 0 0 0 
Two 
Wheeler 645 330 318 711 319 304 511 448 
Mini LCV's 0 0 0 0 0 0 0 0 
LCV's 314 380 277 231 398 451 244 328 
Mini Buses 72 48 60 83 63 80 68 68 
Buses 66 13 11 68 13 15 61 35 
Trucks of 2 
Axle 652 640 739 748 906 897 594 739 
Trucks of 3 
Axle 2 4 4 18 4 14 1 7 
Multi-Axle 
Trucks 0 0 0 0 0 0 0 0 
Tractor 2 0 0 2 0 0 2 1 
Tractor 
trailer 0 0 0 0 0 0 0 0 
Cycle 0 0 0 0 0 0 0 0 
Animal 
Drawn 0 0 0 0 0 0 0 0 
Total 
Vehicles 4743 3184 3180 4910 3872 3769 3357 3859 
Percentage 
Variation 
with ADT 
17.24 22.02 18.59 20.1 9.83 3.34 11.48   
 
Table 4-7: Daily Traffic Variation at Km – 94+800. "
74,PDF page 74,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 49  
 
 
Vehicle type Day 1 Day 2 Day 3 Day 4 Day 5 Day 6 Day 7 ADT 
Cars, passenger vans, 
jeep 971 1045 783 1031 1652 1725 1817 1,289 
Auto Rick. 0 0 0 0 0 0 0 0 
Two Wheeler 383 257 293 326 251 366 356 319 
LCV's 240 296 260 144 325 248 288 257 
Mini Buses 50 65 59 66 58 57 58 59 
Buses 57 11 11 34 13 8 66 29 
Trucks of 2 Axle 186 586 911 973 1160 795 792 772 
Trucks of 3 Axle 0 4 4 4 4 17 1 5 
Multi-Axle Trucks 0 0 0 0 0 7 0 1 
Tractor 0 0 0 2 0 0 2 1 
Tractor trailer 0 0 0 0 0 0 0 0 
Cycle 0 0 0 0 0 0 0 0 
Animal Drawn 0 0 0 0 0 0 0 0 
Total Vehicles 1887 2264 2321 2580 3463 3223 3380 2731 
Percentage Variation 
with ADT 44.72 20.62 17.66 5.85 26.8 18.01 23.76   
 
The graphical representation of daily variation of Traffic for the four traffic count locat ions is shown below 
in Figures 4.2 to 4.4 
 
 
 
Fig. 4-2 :  Daily Variation Traffic at Km- 81+600 
 
4500
5000
5500
6000
6500
Wednesday Thursday Friday Saturday Sunday Monday Tuesday
Traffic Intensity by Number
Days
ADT "
75,PDF page 75,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 50  
 
 
 
 
Fig. 4-3: Daily Variation Traffic at Km- 85+900 
 
 
 
 
Fig.  4-4: Daily Variation Traffic at Km- 94+800 
 
4.3.9.2 Hourly Distribution and Directional Distribution of Traffic 
The hourly variation of traffic illustrates the distribution of traffic over the day with respect to time and 
vehicles. The Peak Hour Factor (PHF) (defined as the ratio between the numbers of vehicles counted during 
the peak hour to the total vehicles counted in a day) is the maximum percentage of total traffic that uses 
3000
3500
4000
4500
5000
5500
Traffic Intensity by Number
Days
1500
2000
2500
3000
3500
4000
Thursday Friday Saturday Sunday Monday Tuesday Wednesday
Traffic Intensity by Number
Days
ADT 
ADT "
76,PDF page 76,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 51  
 
 
the project road in one single hour of the day. The 7-days hourly variation of traffic all locations have been 
presented in figures below: 
 
 
 
 
Fig. 4-5: Hourly Variation Traffic at Km- 81+600 
 
 
 
 
 
 
Fig. 4-6: Hourly Variation Traffic at Km- 85+900 
 
 
0
100
200
300
400
500
600
Traffic Intensity by Number
Time Period
0
50
100
150
200
250
300
350
Traffic Intensity by Number
Time Period"
77,PDF page 77,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 Draft Detailed Project Report | Revision No. 0 | Page | 52  
 
 
 
Fig. 4-7: Hourly Variation Traffic at Km- 94+800 
 
4.3.9.3 Directional Distribution 
Directional distribution along the project road is shown section wise graphically in the figures 6.9 to 6.10 
below. Findings along the project corridor is as under. 
• At Km-81+600, Average Traffic share is 48.70 % for Sonamarg to Baltal (Up) direction and 51.30 % for 
Baltal to Sonamarg (Down) direction. 
• At Km-85+900, Average Traffic share is 49.86 % for Sonamarg to Baltal (Up) direction and 50.14 % for 
Baltal to Sonamarg (Down) direction. 
At Km-94+800, Average Traffic share is 50.84 % for Sonamarg to Baltal (Up) direction and 49.16 % for Baltal 
to Sonamarg (Down) direction. 
 
 
 
Fig. 4-8: Directional Distribution at Km – 81+600 
0
50
100
150
200
250
Traffic Intensity by Number
Time Period
0.00
10.00
20.00
30.00
40.00
50.00
60.00
Wednesday Thursday Friday Saturday Sunday Monday Tuesday
% Composition
Days
up down"
